ranking,score,movie_name,score_num
193,8.6,卡萨布兰卡,116867
194,8.5,被解救的姜戈,243428
195,8.6,燕尾蝶,103355
196,8.7,末路狂花,97073
197,8.5,这个男人来自地球,164237
198,8.5,终结者2：审判日,131903
199,8.4,变脸,201524
200,8.4,英国病人,165561
201,9.0,忠犬八公物语,51427
202,8.4,青蛇,202820
203,8.5,E.T. 外星人,142547
204,8.8,哪吒闹海,73278
205,8.6,叫我第一名,102309
206,8.3,源代码,383137
207,8.4,发条橙,174803
208,9.1,黄金三镖客,47268
209,8.4,新龙门客栈,169296
210,8.5,黑客帝国3：矩阵革命,143603
211,8.4,美国丽人,172427
212,8.3,穆赫兰道,218559
213,8.6,非常嫌疑犯,107923
214,9.2,城市之光,39324
215,8.4,无耻混蛋,208770
216,8.6,上帝也疯狂,90220
217,8.2,初恋这件小事,426234
218,8.9,勇士,81872
219,9.0,爱·回家,44302
220,8.3,蓝色大门,259628
221,8.3,曾经,192880
222,8.5,模仿游戏,232638
223,8.6,无敌破坏王,173089
224,8.7,大卫·戈尔的一生,81332
225,8.5,麦兜故事,119970
226,8.5,血钻,119507
227,8.4,暖暖内含光,135231
228,8.6,蝴蝶,91046
229,8.3,国王的演讲,315148
230,8.5,遗愿清单,116122
231,8.6,巴黎淘气帮,100077
232,8.9,与狼共舞,53190
233,8.7,爱在午夜降临前,104853
234,8.6,枪火,90767
235,8.4,荒岛余生,122538
236,8.2,疯狂的石头,285923
237,8.5,偷拐抢骗,108873
238,8.7,千钧一发,76562
239,8.3,夜访吸血鬼,186308
240,8.5,月球,132805
241,9.0,我爱你,50839
242,8.8,寿司之神,75541
243,8.7,中央车站,72343
244,8.3,爱在暹罗,209510
245,8.5,廊桥遗梦,90939
246,8.4,罪恶之城,132858
247,8.4,彗星来的那一夜,151237
248,8.1,两小无猜,303359
249,8.5,黑鹰坠落,101854
250,8.2,假如爱有天意,217600
